2016	12695	22000	20
2007	2600	127700	205
2016	12700	42166	20
2015	24000	40102	325
2012	13290	64900	300
2017	14990	8936	20
2015	14000	63000	0
1997	4650	122000	265
2017	13500	4520	0
2015	32000	30306	570
2018	70000	3840	150
2007	42992	39000	515
2010	6995	68493	125
2006	2995	114000	195
2004	1699	110000	315
2011	4395	132000	125
2019	30400	9	145
2014	14000	17803	200
2017	31000	47800	150
2003	1490	101000	240
2012	10490	24693	165
2010	9990	38000	125
2009	3750	120000	145
2011	9695	32300	235
2020	17199	609	150
			
